year,,year count,,air plane,number cuush plane,Operator,count Operator,Country,Country count,,Crash cause,Crash cause count,Flight phase,Flight phase count,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airspeed AS.65 Consul,38,Paraense Transportes A¨¦reos,15,,,,,,,Gambia,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dornier DO.28A/B,38,Royal Malaysian Air Force - Tentera Udara Diraja Malaysia,15,,,,,,,Kuwait,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Holste M.H.1521M Broussard,38,Royal Nepal Airlines,15,,,,,,,Moldova,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 550 Citation II,37,Scandinavian Airlines System - SAS,15,,,,,,,Palestine,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Havilland DH.114 Heron,37,South African Airways -SAA - Suid Afrikaanse Lugdiens - SAL,15,,,,,,,Lesotho,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morane-Saulnier M.S.760 Paris,37,Swissair,15,,,,,,,New Caledonia,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Aviation Twin Pioneer,37,Thai Airways International,15,,,,,,,Sierra Leone,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev TU-104,36,Air Vietnam,14,,,,,,,Federated States of Micronesia,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 303 Crusader,35,Egyptair,14,,,,,,,Guadeloupe,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairchild F27,35,Finnish Air Force - Suomen Ilmavoimat,14,,,,,,,Montenegro,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.67 Hastings,35,Flying Tiger Line,14,,,,,,,Northern Mariana Islands,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junkers W.34,35,Japan Airlines,14,,,,,,,Rwanda,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed P-2 Harpoon,35,L¨ªder Taxi A¨¦reo,14,,,,,,,S?o Tom¨¦ and Principe,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAe Jetstream 31,34,Mal¨¦v Hungarian Airlines - Magyar L¨¦gik?zleked¨¦si Vallalat,14,,,,,,,Cabo Verde,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 737-300,34,MIAT Mongolian Airlines - Mongolyn Irgeniy Agaaryn Teever,14,,,,,,,Dominica,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convair CV-580,34,Nicaraguayan Air Force - Fuerza A¨¦rea - Ejercito de Nicaragua,14,,,,,,,Equatorial Guinea,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.54 Harrow,34,Portuguese Air Force - Aeron¨¢utica Militar,14,,,,,,,Falkland Islands,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed L-749 Constellation,34,Real Aerovias,14,,,,,,,Faroe Islands,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socata TBM-700,34,Trans-Canada Air Lines - TCAL,14,,,,,,,Luxembourg,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAC.1 Toucan,33,Trigana Air Service,14,,,,,,,Palau,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 247,33,Alaska Airlines,13,,,,,,,Saint Vincent and Grenadines,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadair CL-215,32,Allegheny Airlines,13,,,,,,,Saint-Barth¨¦lemy,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Havilland DHC-5 Buffalo,32,AVENSA - Aerovias Venezolanas,13,,,,,,,Timor Leste,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 425 Conquest,31,Balkan Bulgarian Airlines,13,,,,,,,Barbados,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grumman G-44 Widgeon,31,Bulair,13,,,,,,,Bhutan,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVF PS-84,31,Burma Airways,13,,,,,,,Burkina Faso,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.57 Halifax II,31,Eurasia Aviation Corporation,13,,,,,,,French Guyana,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 40,30,National Flying Services,13,,,,,,,Kiribati,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas DC-10,30,Skyways of London,13,,,,,,,Martinique,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAI Arava 201,30,TAAG Angola Airlines - Transportes A¨¦reos de Angola,13,,,,,,,Saint Lucia,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilatus PC-12,30,Union of Burma Airways,13,,,,,,,Slovenia,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAc 111,29,Ameriflight,12,,,,,,,American Samoa,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 747-200,29,Austrian Air Force - ?sterreichische Luftstreitkr?fte,12,,,,,,,Seychelles,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing KC-97 Stratotanker,29,Aviateca,12,,,,,,,Togo,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairchild FC-2,29,Bolivian Air Force - Fuerza A¨¦rea Boliviana,12,,,,,,,Albania,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers Varsity,29,Det Danske Luftfartselskab - DDL,12,,,,,,,Cayman Islands,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avro 696 Shackleton,28,Lancashire Aircraft Corporation - LAC,12,,,,,,,Guinea Bissau,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casa 352,28,Mandated Airlines,12,,,,,,,Monaco,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas A-20 Havoc,28,Myanmar Air Force - Tatmadaw Lei,12,,,,,,,Montserrat,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMC YS-11,28,National Airlines,12,,,,,,,Saint Kitts and Nevis,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockwell Aero Commander 520,28,Nigeria Airways,12,,,,,,,Saint Pierre and Miquelon,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airbus A320,27,Nigerian Air Force,12,,,,,,,Swaziland,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft 1900C,27,Royal Danish Air Force - Flyvev?bnet,12,,,,,,,Tonga,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol 130 Bombay,27,SAHSA - Servicios A¨¦reos de Honduras SA,12,,,,,,,Anguilla,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learjet 23,27,Sri Lanka Air Force,12,,,,,,,Antigua,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simmonds Spartan,27,Syndicato Condor,12,,,,,,,Ascension Island,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avro 691 Lancastrian,26,Talair,12,,,,,,,Chagos Archipelago,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 737-400,26,Trans Australia Airlines - TAA,12,,,,,,,Cook Islands,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convair B-36 Peacemaker,26,Western Canada Airways,12,,,,,,,Kosovo,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas C-49 (DC-3),26,Aigle Azur,11,,,,,,,La Reunion,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grumman G-159 Gulfstream I,26,American Airways,11,,,,,,,Mauritius,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed 12 Electra Junior,26,Bouraq Indonesia Airlines,11,,,,,,,Mayotte,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miles M.57 Aerovan,26,Brazilian Air Force - Avia??o Militar,11,,,,,,,NA,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supermarine Walrus,26,Corporate Air - USA,11,,,,,,,Qatar,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dornier Do J Wal,25,Deruluft - Deutsch-Russische Luftverkehrs Gesellschaft,11,,,,,,,Tuvalu,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Embraer EMB-120 Bras¨ªlia,25,DOSAAF,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harbin Yunsunji Y-12,25,Eastern Air Transport,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed C-121 Super Constellation,25,Eastern Provincial Airways - EPA,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed L-049 Constellation,25,Hawkins %26 Powers Aviation,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swearingen SA226T Merlin III,25,Kenn Borek Air,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonov AN-8,24,KNILM - Koninklijke Nederlandse Indies Luchtvaart Maatschappij,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dassault Falcon 10,24,Lineas A¨¦reas de Nicaragua - LANICA,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin 404,24,Polish Air Force - Polska Wojska Lotnicze i Obrony Powietrznej,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blackburn B-26 Botha,23,Private Russian,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 737-800,23,Procuradur¨ªa General de la Rep¨²blica,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairchild-Hiller FH-227,23,Transair Canada,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avro 594 Avian,22,USAir - US Airways,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britten-Norman Trislander,22,Vickers-Armstrongs Ltd,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 501 Citation I,22,Western Airlines,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker Super Universal,22,Zantop Air Transport,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAI 1124 Westwind,22,Aeropesca Colombia,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockwell Sabreliner 40,22,Aerosucre Colombia,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockwell Turbo Commander 680/681,22,Aircraft Transport %26 Travel - AT%26T,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sikorsky S-38,22,Aktiebolaget Aerotransport - ABA,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avia 14,21,Avro Air Transport,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consolidated C-87 Liberator Express,21,Bali International Air Service,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Havilland DH.106 Comet,21,British South American Airways - BSAA,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Havilland DH.86 Express,21,Capital Airlines,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dornier DO.28D Skyservant,21,Central African Airways - CAA,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman F.60 Goliath,21,Cessna Aircraft Company,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focke-Wulf Fw.200 Condor,21,Deutsche Verkehrsfliegerschule - DVS,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilyushin II-62,21,Egyptian Air Force and Air Defence Command,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junkers W.33,21,Guatemalan Air Force - Fuerza A¨¦rea Guatemalteca,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short S.29 Stirling,21,Imperial Iranian Air Force,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airbus A300,20,Interflug,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATR72-200,20,Iraqi Air Force - Al Quwwat al Jawwiya al Iraqiya,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas C-118 Liftmaster,20,Libyan Arab Airlines,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Embraer C-95 Bandeirante,20,Loide A¨¦reo Nacional,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Embraer EMB-820 Navajo/Caraj¨¢,20,Mandala Airlines,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAF Nomad N.22,20,Maritime Central Airways,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATR42-300,19,Middle East Airlines - MEA,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas B-18 Bolo,19,PenAir - Peninsula Airways - Alaska Airlines Commuter,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairchild 71,19,Pitcairn Aviation,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.57 Halifax III,19,Private Argentinian,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockwell T-39 Sabreliner,19,Private South African,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swearingen SA26T Merlin II,19,Provincial Air Service of Lands %26 Forests,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft 350 Super King Air,18,Salvadorian Air Force - Fuerza A¨¦rea Salvadore?a,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breguet 19,18,TMA of Lebanon - Trans Mediterranean Airways,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadair CL-44,18,United States Forest Service - USFS,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convair CV-340,18,Yute Air Alaska,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker 100,18,Aeronaves de Mexico,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker 50,18,Aerovias Brasil,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grumman E-2C Hawkeye,18,Air Afrique,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulfstream GII,18,Air Force of Zimbabwe,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed C-141 Starlifter,18,Air Manila International,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitcairn PA-6 Mailwing,18,Air Orient,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockwell 1121 Jet Commander,18,Aircraft Guaranty Corporation Trustee,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savoia-Marchetti SM.75,18,Australian Aero Club,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swearingen SA226AT Merlin IV,18,Biman Bangladesh Airlines,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel Air 6000,18,Braniff Airways,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avro 616 Avian IVM,17,Buffalo Airways,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadair C-4 North Star,17,Central Air Transport - China,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consolidated LB-30 Liberator,17,Combs FreightAir,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curtiss HS-2L,17,Compagnie Autrex-Lopez-Loreta-Le Breton,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dassault M.D.315 Flamant,17,Conair Aviation,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO H-13,17,Cuban Air Force - Fuerza A¨¦rea del Ej¨¦rcito de Cuba,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed 1 Vega,17,De Havilland Aircraft UK,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed 9 Orion,17,East African Airways,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McDonnell Douglas MD-82,17,Formosa Airlines,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piper PA-42 Cheyenne,17,Grant Aviation,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNCASE SE.161 Languedoc,17,Handley Page Transport,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft 1900D,16,Honduran Air Force - Fuerza A¨¦rea Hondure?a,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft AT-7 Navigator,16,Indian National Airways - INA,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft U-21 Ute,16,Kalinga Airlines,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker F3,16,Northeast Airlines - USA,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker Universal,16,Northern Wings,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grumman G-73 Mallard,16,Ontario Provincial Air Service,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junkers G.24,16,Queen Charlotte Airlines,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aero C-3A,15,RCMP - GRC Air Services,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avro 19,15,Royal Australian Army,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casa 2.111,15,Royal Netherlands Air Force - Koninklijke Luchtmacht,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caudron C.440 Go¨¦land,15,Ryan Air,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convair CV-880,15,SAM Colombia - Sociedad Aeron¨¢utica de Medell¨ªn,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker F10,15,Selkhozaviatsiya,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page HPR-7 Dart Herald,15,Shell Company of Ecuador,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin P5M-2 Marlin,15,Slick Airways,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nord 262,15,Spanish Air Force - Aeron¨¢utica Militar,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potez 25,15,Surrey Flying Services,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockwell Gulfstream 690C Jetprop 840,15,TAM Paraguay - Transporte A¨¦reo Militar,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockwell Sabreliner 75,15,Transafrik,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saab 340,15,Ukrvozduchput,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short 360,15,Union Airways,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short S.23 Empire Flying Boat,15,Venezuelan Air Force - Fuerza A¨¦rea Venezolana,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNCAC NC.701/702 Martinet,15,Aerial Agriculture,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stinson SR-10 Reliant,15,Aero Union,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev TU-124,15,AeroM¨¦xico,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft 300 Super King Air,14,Aeronorte,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 720,14,Air Canada,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 95,14,Air National Guard,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol Britannia,14,Air Service Hungary - Rep¨¹l?g¨¦pes Szolgalat Allami Vallat,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAMS 53,14,American Eagle,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curtiss JN-4,14,Athabaska Airways,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman F.63bis Goliath,14,Aviones de Panama,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lat¨¦co¨¨re 25,14,Brazilian Navy - Avia??o Naval Brasileira,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin 187 Baltimore,14,Canadian Government,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percival P.66 Pembroke,14,Central Air Southwest,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raytheon 390 Premier I,14,Compagnie Franco-Roumaine de Navigation A¨¦rienne,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savoia-Marchetti S.55,14,Ethiopian Air Force - Ye Ityopya Ayer Hayl,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transall C-160,14,Far Eastern Air Transport - FAT,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonov AN-10,13,Iraqi Airways,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casa-Nurtanio CN-235 (IPTN),13,Island Airlines,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 406 Caravan,13,Johnson Flying Service,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 525 CitationJet CJ1,13,Kenya Air Force,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Havilland DH.50,13,Khmer Air Force,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Havilland DHC-8-400 (Dash-8),13,Lineas A¨¦reas La Urraca,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grumman C-1A Trader,13,Linee Aeree Italiane - LAI,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hawker Siddeley HS.121 Trident,13,Lion Air,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Howard Super Ventura (Howard 500),13,Loftleidir Icelandic Airlines,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lat¨¦co¨¨re 26,13,Lufthansa,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed L-1329 JetStar,13,MVD - Ministerstvo Vnutrennikh Del,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McDonnell Douglas MD-83,13,Myanma Airways,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short 330,13,Nepalese Army,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel Air 4000,13,Ontario Central Airlines,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 417 Wellington III,13,Perimeter Aviation,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers Virginia,13,Private Bolivian,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armstrong Whitworth AW.650 Argosy,12,Private Swiss,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft C-12 Huron,12,PropAir,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curtiss T-32 Condor II,12,Royal Navy,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Havilland DH.90 Dragonfly,12,Scottish Airlines,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman F.190,12,SouthCentral Air,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keystone LB-6,12,Spanish Nationalist Air Force,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockwell Aero Commander 685,12,Spantax,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stearman C-3,12,Swiss Air Force,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udet U12 Flamingo,12,Tanzania Peoples Defence Forces,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 440 Wellington X,12,Taxi A¨¦reo El Venado,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volpar Turboliner 18,12,Transaviatsiya,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airbus A310,11,Transportes A¨¦reos Nacionales de la Selva - TANS,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAe 146,11,Tropic Air,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beriev Be-12,11,Union A¨¦romaritime de Transport - UAT,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAF Nomad N.24,11,United Express,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.12,11,United States Signal Corps - USSC,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hindustan Aeronautics HAL-748,11,Wilson Airways,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junkers A.20,11,Wyman Pilot Services,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keystone LB-5,11,Aer Lingus,7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lat¨¦co¨¨re 28,11,Aero Condor - Servicio de Transporte A¨¦reo Turistico - STAT,7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin 202,11,Aerocondor de Colombia - Aerovias Condor,7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAC 750XL - Pacific Aerospace Corporation,11,Aeroklub Polskiej Rzeczypospolitej Ludowej - APRL,7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitcairn PA-5 Mailwing,11,A¨¦ro-Service,7,,,,,,,,
