year,,year count,,air plane,number cuush plane,Operator,count Operator,Country,Country count,,Crash cause,Crash cause count,Flight phase,Flight phase count,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft 60 Duke,63,Ecuadorian Air Force - Fuerza A¨¦rea Ecuatoriana,21,,,,,,,Liberia,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 411,62,MAP - Ministerstvo Aviatsionnoi Promyshlennosti - Minaviaprom,21,,,,,,,Gabon,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas DC-7,62,S¨¦curit¨¦ civile fran?aise,21,,,,,,,Madagascar,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev TU-134,62,United Arab Airlines,21,,,,,,,Singapore,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilyushin II-76,61,Aerotaxi Servicios A¨¦reos,20,,,,,,,Jamaica,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed PV-1 Ventura,60,Boeing Air Transport,20,,,,,,,Belize,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swearingen SA227 Metro III,60,Delta Airlines,20,,,,,,,Congo,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed 5 Vega,59,Faucett,20,,,,,,,Tajikistan,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 421A Golden Eagle I,58,Pacific Western Airlines - PWA,20,,,,,,,Turkmenistan,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers Viking,58,Sudanese Air Force - Al Quwwat al-Jawwiya As-Sudaniya,20,,,,,,,Uganda,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Havilland DH.83 Fox Moth,57,United States Marine Corps,20,,,,,,,Lebanon,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De Havilland DH.84 Dragon,57,Afghan Republican Air Force - Afghan Hanai Qurah,19,,,,,,,Oman,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinkel He.111,56,Ala Littoria,19,,,,,,,Slovakia,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 727-200,55,Aviaco - Aviacion y Comercio,19,,,,,,,Syria,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud-Aviation SE-210 Caravelle,55,British Airways,19,,,,,,,Fiji Islands,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 290 Wellington I,55,Air Alg¨¦rie,18,,,,,,,Vanuatu,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft 65 Queen Air,54,Air India,18,,,,,,,Chad,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas C-124 Globemaster II,54,Continental Air Services,18,,,,,,,Dutch Antilles,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 408 Wellington IA,54,Japan Maritime Self-Defense Force - Kaijo Jieitai,18,,,,,,,Mali,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convair CV-440 Metropolitan,51,Panagra - Pan American-Grace Airways,18,,,,,,,Suriname,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilyushin II-12,51,ROSTO,18,,,,,,,Serbia,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed 10 Electra,51,Royal Norwegian Air Force - Kongelige Norske Luftforsvaret,18,,,,,,,Eritrea,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft 99 Airliner,50,Alitalia - Linee Aeree Italiane,17,,,,,,,Ghana,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consolidated PB4Y-2 Privateer,50,Austin Airways,17,,,,,,,Ivory Coast,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swearingen SA226 Metro II,50,CAAC - Civil Aviation Administration of China,17,,,,,,,Mauritania,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 727-100,49,China Airlines,17,,,,,,,Mongolia,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dassault Falcon 20,49,Compagnie Internationale de Navigation A¨¦rienne - CIDNA,17,,,,,,,Salvador,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairchild C-82 Packet,48,Pacific Air Transport,17,,,,,,,Estonia,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 619 Wellington X,48,Republic of China Air Force,17,,,,,,,Western Sahara,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed L-188 Electra,47,Sudan Airways,17,,,,,,,Bermuda,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PZL-Mielec AN-28,47,Western Air Express,17,,,,,,,Botswana,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairey III,46,All Nippon Airways,16,,,,,,,Jordan,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grumman HU-16 (SA-16) Albatross,46,Ariana Afghan Airlines,16,,,,,,,Latvia,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learjet 24,45,British Army Air Corps,16,,,,,,,Lithuania,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed 14 Super Electra,45,Chinese Air Force - AFPLA - Chung-Kuo Shan Min Taie Fang Tsun Pu-Tai,16,,,,,,,Namibia,13
